orderId,customerName,orderDate,itemName,quantity,price
ORD-1001,Romaguera-Crona,2026-01-15,API Gateway License,2,1500.00
ORD-1001,Romaguera-Crona,2026-01-15,Integration Platform,1,4500.00
ORD-1001,Romaguera-Crona,2026-01-15,Support Package,1,800.00
ORD-1002,Deckow-Crist,2026-01-18,Data Connector,5,350.00
ORD-1002,Deckow-Crist,2026-01-18,Monitoring Dashboard,1,1200.00
ORD-1002,Deckow-Crist,2026-01-18,API Designer Tool,3,600.00
ORD-1003,Keebler LLC,2026-01-22,HIPAA Compliance Module,1,3200.00
ORD-1003,Keebler LLC,2026-01-22,Data Encryption Add-on,2,750.00
ORD-1003,Keebler LLC,2026-01-22,Audit Trail Logger,1,950.00
ORD-1004,Considine-Lockman,2026-02-01,Financial Connector,3,1100.00
ORD-1004,Considine-Lockman,2026-02-01,Batch Processing Engine,1,2800.00
ORD-1004,Considine-Lockman,2026-02-01,Data Masking Tool,2,500.00
ORD-1005,Hoeger LLC,2026-02-05,Cloud Deployment Pack,1,2200.00
ORD-1005,Hoeger LLC,2026-02-05,CI/CD Pipeline Plugin,2,450.00
ORD-1005,Hoeger LLC,2026-02-05,Load Balancer Config,1,1800.00
